address,comp_accrued,comp_claimed
0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,2993.947244,943.8956766
0xfa5dcf356a2d80cf0c89d64a18a742edaf8d30e8,2873.380419,2873.380419
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,2805.041987,2805.004293
0x5921c191fe58175b1fb8943ed3f17345e615ff02,2783.063042,2783.063042
0x10bf1dcb5ab7860bab1c3320163c6dddf8dcc0e4,2717.721257,3450.723236
0x22fa8cc33a42320385cbd3690ed60a021891cb32,2696.071161,2696.071161
0x4d069f267daab537c4ff135556f711c0a6538496,2686.644623,2686.644623
0xe0497d23c68118db8f1e8439864c6774dfe0e825,2661.253937,2661.253937
0x5274891bec421b39d23760c04a6755ecb444797c,2633.742027,2633.742027
0xe1ed4da4284924ddaf69983b4d813fb1be58c380,2538.315313,1562.463749
0xde9ec95d7708b8319ccca4b8bc92c0a3b70bf416,2407.545908,2376.12375
0x2c101e1cfe5cc0d0a948f802059c43723ad90175,2377.926557,2377.926557
0xe84a061897afc2e7ff5fb7e3686717c528617487,2357.466974,2279.559216
0xb7904059e7f4863ad9efe7778dbe5f663e379501,2283.91079,2283.91079
0x78bc49be7bae5e0eec08780c86f0e8278b8b035b,2279.979197,2279.979197
0xb99cc7e10fe0acc68c50c7829f473d81e23249cc,2268.932491,2251.746445
0x702a39a9d7d84c6b269efaa024dff4037499bba9,2248.121246,2214.09982
0x7900c70a377f89df29d1d1939469ae3b74c5b740,2221.964535,2221.964535
0xcb1096e77d6eab734ffceced1fcd2d35ee6b8d15,2212.234536,2212.234536
0x701bd63938518d7db7e0f00945110c80c67df532,2206.860834,2206.860815
0x6ddca709e0d29fdd03be35553c77c08f81a3f9e1,2181.300294,1908.811854
0xdd19f38db623f4c4c9ca40ae3782ed845013d918,2171.579563,2171.579563
0x55ec3771376b6e1e4ca88d0eea5e42a448f51c7f,2151.267414,2151.267414
0xeb6572f25c89b45775e46ab934a36f24bc25f44a,2132.707187,2132.656321
